,time,gid,lid,kind,population,type
56,521.7910691005524,47,0,2,virt,100
57,521.8023285821124,6,0,0,v1,106
58,522.3636005011482,10,0,0,v1,110
59,522.4283242363103,8,0,0,v1,108
60,522.5898288865734,12,0,0,v1,112
61,523.9551671218271,11,0,0,v1,111
62,524.6457700944238,103,0,2,virt,100
63,524.873175784177,40,0,2,virt,100
64,525.1354531709092,80,0,2,virt,100
65,525.3900000989826,78,0,2,virt,100
66,525.6050548668205,94,0,2,virt,100
67,526.1571160733575,5,0,0,v1,105
68,526.472399317842,101,0,2,virt,100
69,526.9206716543363,3,0,0,v1,103
70,527.6337146995733,105,0,2,virt,100
71,527.706753712671,103,0,2,virt,100
72,527.7692624159348,4,0,0,v1,104
73,528.5184108966669,33,0,2,virt,100
74,529.0193394945264,35,0,2,virt,100
75,529.1556226968144,0,0,0,v1,100
76,529.2804817142152,94,0,2,virt,100
77,529.4297065845406,99,0,2,virt,100
78,529.5374741125241,114,0,2,virt,100
79,529.5593584406333,14,0,0,v1,114
80,530.0058214991883,53,0,2,virt,100
81,530.0090676900651,12,0,0,v1,112
82,530.4160107576904,68,0,2,virt,100
83,530.7199038838786,20,0,2,virt,100
84,530.732683880252,31,0,2,virt,100
85,532.2735064250527,3,0,0,v1,103
86,532.2789986179247,6,0,0,v1,106
87,532.3142585746808,1,0,0,v1,101
88,532.5713948469029,2,0,0,v1,102
89,532.6322030058918,74,0,2,virt,100
90,532.8019852759129,10,0,0,v1,110
91,532.8759392168832,7,0,0,v1,107
92,532.9099023713125,8,0,0,v1,108
93,532.9313768373007,13,0,0,v1,113
94,534.1687700473517,85,0,2,virt,100
95,534.2049123076415,101,0,2,virt,100
96,534.303421676775,33,0,2,virt,100
97,534.5756357031099,27,0,2,virt,100
98,534.7633030413791,28,0,2,virt,100
99,535.8524458487883,42,0,2,virt,100
100,535.9936556201145,39,0,2,virt,100
101,536.030384500967,41,0,2,virt,100
102,536.0573385354362,57,0,2,virt,100
103,536.3839490767043,52,0,2,virt,100
104,536.528744055756,88,0,2,virt,100
105,536.7499909560189,108,0,2,virt,100
106,536.9148830299715,12,0,0,v1,112
107,537.5449568559146,9,0,0,v1,109
108,537.9872855223064,14,0,0,v1,114
109,538.320021302091,4,0,0,v1,104
110,538.4098073833782,83,0,2,virt,100
111,538.7208459396072,3,0,0,v1,103
112,538.8306272676342,11,0,0,v1,111
113,538.8975599775492,29,0,2,virt,100
114,539.0189599341974,22,0,2,virt,100
115,539.1190564641732,16,0,2,virt,100
116,539.5695792287091,8,0,0,v1,108
117,539.5713003817638,47,0,2,virt,100
118,539.7873427518184,0,0,0,v1,100
119,539.8702430176244,5,0,0,v1,105
120,539.8933984348955,27,0,2,virt,100
121,540.1205591052476,109,0,2,virt,100
122,540.5383400677642,32,0,2,virt,100
123,540.9068052439303,83,0,2,virt,100
124,540.9121070594192,1,0,0,v1,101
125,541.0511860899223,6,0,0,v1,106
126,541.3270744473538,40,0,2,virt,100
127,541.5455914841334,83,0,2,virt,100
128,541.8159526319434,76,0,2,virt,100
129,542.0478361160262,18,0,2,virt,100
130,542.1236561255317,10,0,0,v1,110
131,542.4147279016807,12,0,0,v1,112
132,542.559838453048,13,0,0,v1,113
133,542.7368596903934,34,0,2,virt,100
134,543.1420220926254,100,0,2,virt,100
135,543.5194315891063,48,0,2,virt,100
136,543.5902324527287,2,0,0,v1,102
137,543.8535355660697,3,0,0,v1,103
138,545.7928755661712,14,0,0,v1,114
139,545.8945865282703,102,0,2,virt,100
140,546.3709970601063,28,0,2,virt,100
141,546.6799371551479,20,0,2,virt,100
142,546.8271014370811,7,0,0,v1,107
143,547.3246752051483,102,0,2,virt,100
144,547.4023197070723,4,0,0,v1,104
145,548.2191214727328,24,0,2,virt,100
146,548.5879942132568,86,0,2,virt,100
147,548.678819532056,74,0,2,virt,100
148,548.8750164009315,16,0,2,virt,100
149,548.9498297846076,92,0,2,virt,100
150,549.0188286878698,34,0,2,virt,100
151,549.0948650297335,60,0,2,virt,100
152,549.3847967122989,40,0,2,virt,100
153,549.8030895960231,12,0,0,v1,112
154,549.9064827460204,8,0,0,v1,108
155,550.0764548132075,45,0,2,virt,100
156,550.0846980608651,28,0,2,virt,100
157,551.917030677601,3,0,0,v1,103
158,552.0557462944662,6,0,0,v1,106
159,552.1133450791267,50,0,2,virt,100
160,552.4767720182145,10,0,0,v1,110
161,552.8051722987427,1,0,0,v1,101
162,552.8882311894715,49,0,2,virt,100
163,553.7936920890728,5,0,0,v1,105
164,554.1233505808593,75,0,2,virt,100
165,554.2815874345694,13,0,0,v1,113
166,554.2961321147245,89,0,2,virt,100
167,554.4092271609534,11,0,0,v1,111
168,554.684204382094,56,0,2,virt,100
169,555.0512206901353,9,0,0,v1,109
170,555.5967806448234,68,0,2,virt,100
171,555.6202232610332,30,0,2,virt,100
172,557.5008917095745,69,0,2,virt,100
173,557.5256993459798,4,0,0,v1,104
174,557.8515265858485,12,0,0,v1,112
175,558.1312523365771,99,0,2,virt,100
176,558.2082255392123,105,0,2,virt,100
177,559.5600187453067,8,0,0,v1,108
