,time,gid,lid,kind,population,type
56,520.8917484269227,50,0,2,virt,100
57,520.9075821090101,1,0,0,v1,101
58,521.3569408157199,6,0,0,v1,106
59,521.4309031400421,37,0,2,virt,100
60,521.7910691005524,47,0,2,virt,100
61,522.0186554967307,4,0,0,v1,104
62,523.2525689336029,10,0,0,v1,110
63,523.9604556206385,3,0,0,v1,103
64,524.2372633277394,12,0,0,v1,112
65,524.6457700944238,103,0,2,virt,100
66,524.873175784177,40,0,2,virt,100
67,525.1354531709092,80,0,2,virt,100
68,525.3900000989826,78,0,2,virt,100
69,525.6050548668205,94,0,2,virt,100
70,526.472399317842,101,0,2,virt,100
71,527.6337146995733,105,0,2,virt,100
72,527.706753712671,103,0,2,virt,100
73,527.9972235380205,3,0,0,v1,103
74,528.0046522821573,14,0,0,v1,114
75,528.5184108966669,33,0,2,virt,100
76,529.0193394945264,35,0,2,virt,100
77,529.2804817142152,94,0,2,virt,100
78,529.4297065845406,99,0,2,virt,100
79,529.5374741125241,114,0,2,virt,100
80,530.0058214991883,53,0,2,virt,100
81,530.4160107576904,68,0,2,virt,100
82,530.7199038838786,20,0,2,virt,100
83,530.732683880252,31,0,2,virt,100
84,531.6013544812603,4,0,0,v1,104
85,531.6764109532793,13,0,0,v1,113
86,531.7201572291636,12,0,0,v1,112
87,531.9737359933148,8,0,0,v1,108
88,532.0098169084538,6,0,0,v1,106
89,532.3938779955964,1,0,0,v1,101
90,532.453207449445,3,0,0,v1,103
91,532.5810832377966,7,0,0,v1,107
92,532.6322030058918,74,0,2,virt,100
93,532.71731850346,14,0,0,v1,114
94,532.7878263364219,2,0,0,v1,102
95,534.1687700473517,85,0,2,virt,100
96,534.2049123076415,101,0,2,virt,100
97,534.303421676775,33,0,2,virt,100
98,534.5756357031099,27,0,2,virt,100
99,534.7633030413791,28,0,2,virt,100
100,534.8061333986018,10,0,0,v1,110
101,535.8524458487883,42,0,2,virt,100
102,535.9936556201145,39,0,2,virt,100
103,536.030384500967,41,0,2,virt,100
104,536.0573385354362,57,0,2,virt,100
105,536.3839490767043,52,0,2,virt,100
106,536.528744055756,88,0,2,virt,100
107,536.7499909560189,108,0,2,virt,100
108,537.6745323974103,14,0,0,v1,114
109,537.7016646733255,3,0,0,v1,103
110,538.4098073833782,83,0,2,virt,100
111,538.4433988244325,12,0,0,v1,112
112,538.7963959294157,0,0,0,v1,100
113,538.8975599775492,29,0,2,virt,100
114,539.0188470068233,8,0,0,v1,108
